,YEAR_invest,TECHNOLOGIES,TECHNOLOGIES,AREA,transInvest_Dvar
366,2040,SMR + CCS2,CCS2,Marseille,0.0
367,2040,SMR + CCS2,CCS2,Nice,0.0
368,2040,SMR + CCS2,CCS2,Alpin,0.0
369,2040,SMR + CCS2,Ground PV,Marseille,0.0
370,2040,SMR + CCS2,Ground PV,Nice,0.0
371,2040,SMR + CCS2,Ground PV,Alpin,0.0
372,2040,SMR + CCS2,SMR,Marseille,0.0
373,2040,SMR + CCS2,SMR,Nice,0.0
374,2040,SMR + CCS2,SMR,Alpin,0.0
375,2040,SMR + CCS2,SMR + CCS1,Marseille,0.0
376,2040,SMR + CCS2,SMR + CCS1,Nice,0.0
377,2040,SMR + CCS2,SMR + CCS1,Alpin,0.0
378,2040,SMR + CCS2,CCS1,Marseille,0.0
379,2040,SMR + CCS2,CCS1,Nice,0.0
380,2040,SMR + CCS2,CCS1,Alpin,0.0
381,2040,SMR + CCS2,ElectrolysisS,Marseille,0.0
382,2040,SMR + CCS2,ElectrolysisS,Nice,0.0
383,2040,SMR + CCS2,ElectrolysisS,Alpin,0.0
384,2040,SMR + CCS2,Existing SMR,Marseille,0.0
385,2040,SMR + CCS2,Existing SMR,Nice,0.0
386,2040,SMR + CCS2,Existing SMR,Alpin,0.0
387,2040,SMR + CCS2,ElectrolysisL,Marseille,0.0
388,2040,SMR + CCS2,ElectrolysisL,Nice,0.0
389,2040,SMR + CCS2,ElectrolysisL,Alpin,0.0
390,2040,SMR + CCS2,SMR + CCS2,Marseille,0.0
391,2040,SMR + CCS2,SMR + CCS2,Nice,0.0
392,2040,SMR + CCS2,SMR + CCS2,Alpin,0.0
393,2040,SMR + CCS2,Onshore wind,Marseille,0.0
394,2040,SMR + CCS2,Onshore wind,Nice,0.0
395,2040,SMR + CCS2,Onshore wind,Alpin,0.0
396,2040,Onshore wind,Offshore wind - floating,Marseille,0.0
397,2040,Onshore wind,Offshore wind - floating,Nice,0.0
398,2040,Onshore wind,Offshore wind - floating,Alpin,0.0
399,2040,Onshore wind,ElectrolysisM,Marseille,0.0
400,2040,Onshore wind,ElectrolysisM,Nice,0.0
401,2040,Onshore wind,ElectrolysisM,Alpin,0.0
402,2040,Onshore wind,CCS2,Marseille,0.0
403,2040,Onshore wind,CCS2,Nice,0.0
404,2040,Onshore wind,CCS2,Alpin,0.0
405,2040,Onshore wind,Ground PV,Marseille,0.0
406,2040,Onshore wind,Ground PV,Nice,0.0
407,2040,Onshore wind,Ground PV,Alpin,0.0
408,2040,Onshore wind,SMR,Marseille,0.0
409,2040,Onshore wind,SMR,Nice,0.0
410,2040,Onshore wind,SMR,Alpin,0.0
411,2040,Onshore wind,SMR + CCS1,Marseille,0.0
412,2040,Onshore wind,SMR + CCS1,Nice,0.0
413,2040,Onshore wind,SMR + CCS1,Alpin,0.0
414,2040,Onshore wind,CCS1,Marseille,0.0
415,2040,Onshore wind,CCS1,Nice,0.0
416,2040,Onshore wind,CCS1,Alpin,0.0
417,2040,Onshore wind,ElectrolysisS,Marseille,0.0
418,2040,Onshore wind,ElectrolysisS,Nice,0.0
419,2040,Onshore wind,ElectrolysisS,Alpin,0.0
420,2040,Onshore wind,Existing SMR,Marseille,0.0
421,2040,Onshore wind,Existing SMR,Nice,0.0
422,2040,Onshore wind,Existing SMR,Alpin,0.0
423,2040,Onshore wind,ElectrolysisL,Marseille,0.0
424,2040,Onshore wind,ElectrolysisL,Nice,0.0
425,2040,Onshore wind,ElectrolysisL,Alpin,0.0
426,2040,Onshore wind,SMR + CCS2,Marseille,0.0
427,2040,Onshore wind,SMR + CCS2,Nice,0.0
428,2040,Onshore wind,SMR + CCS2,Alpin,0.0
429,2040,Onshore wind,Onshore wind,Marseille,0.0
430,2040,Onshore wind,Onshore wind,Nice,0.0
431,2040,Onshore wind,Onshore wind,Alpin,0.0
432,2020,Offshore wind - floating,Offshore wind - floating,Marseille,0.0
433,2020,Offshore wind - floating,Offshore wind - floating,Nice,0.0
434,2020,Offshore wind - floating,Offshore wind - floating,Alpin,0.0
435,2020,Offshore wind - floating,ElectrolysisM,Marseille,0.0
436,2020,Offshore wind - floating,ElectrolysisM,Nice,0.0
437,2020,Offshore wind - floating,ElectrolysisM,Alpin,0.0
438,2020,Offshore wind - floating,CCS2,Marseille,0.0
439,2020,Offshore wind - floating,CCS2,Nice,0.0
440,2020,Offshore wind - floating,CCS2,Alpin,0.0
441,2020,Offshore wind - floating,Ground PV,Marseille,0.0
442,2020,Offshore wind - floating,Ground PV,Nice,0.0
443,2020,Offshore wind - floating,Ground PV,Alpin,0.0
444,2020,Offshore wind - floating,SMR,Marseille,0.0
445,2020,Offshore wind - floating,SMR,Nice,0.0
446,2020,Offshore wind - floating,SMR,Alpin,0.0
447,2020,Offshore wind - floating,SMR + CCS1,Marseille,0.0
448,2020,Offshore wind - floating,SMR + CCS1,Nice,0.0
449,2020,Offshore wind - floating,SMR + CCS1,Alpin,0.0
450,2020,Offshore wind - floating,CCS1,Marseille,0.0
451,2020,Offshore wind - floating,CCS1,Nice,0.0
452,2020,Offshore wind - floating,CCS1,Alpin,0.0
453,2020,Offshore wind - floating,ElectrolysisS,Marseille,0.0
454,2020,Offshore wind - floating,ElectrolysisS,Nice,0.0
455,2020,Offshore wind - floating,ElectrolysisS,Alpin,0.0
456,2020,Offshore wind - floating,Existing SMR,Marseille,0.0
457,2020,Offshore wind - floating,Existing SMR,Nice,0.0
458,2020,Offshore wind - floating,Existing SMR,Alpin,0.0
459,2020,Offshore wind - floating,ElectrolysisL,Marseille,0.0
460,2020,Offshore wind - floating,ElectrolysisL,Nice,0.0
461,2020,Offshore wind - floating,ElectrolysisL,Alpin,0.0
462,2020,Offshore wind - floating,SMR + CCS2,Marseille,0.0
463,2020,Offshore wind - floating,SMR + CCS2,Nice,0.0
464,2020,Offshore wind - floating,SMR + CCS2,Alpin,0.0
465,2020,Offshore wind - floating,Onshore wind,Marseille,0.0
466,2020,Offshore wind - floating,Onshore wind,Nice,0.0
467,2020,Offshore wind - floating,Onshore wind,Alpin,0.0
468,2020,ElectrolysisM,Offshore wind - floating,Marseille,0.0
469,2020,ElectrolysisM,Offshore wind - floating,Nice,0.0
470,2020,ElectrolysisM,Offshore wind - floating,Alpin,0.0
471,2020,ElectrolysisM,ElectrolysisM,Marseille,0.0
472,2020,ElectrolysisM,ElectrolysisM,Nice,0.0
473,2020,ElectrolysisM,ElectrolysisM,Alpin,0.0
474,2020,ElectrolysisM,CCS2,Marseille,0.0
475,2020,ElectrolysisM,CCS2,Nice,0.0
476,2020,ElectrolysisM,CCS2,Alpin,0.0
477,2020,ElectrolysisM,Ground PV,Marseille,0.0
478,2020,ElectrolysisM,Ground PV,Nice,0.0
