TIMESTAMP,Calendrier,HTA,sup36,inf36
735,HPH,21.4,43.7,14.7
736,HPH,21.4,43.7,14.7
737,HPH,21.4,43.7,14.7
738,HPH,21.4,43.7,14.7
739,P,28.5,43.7,14.7
740,P,28.5,43.7,14.7
741,HPH,21.4,43.7,14.7
742,HPH,21.4,43.7,14.7
743,HCH,13.4,29.4,14.7
744,HCH,13.4,29.4,14.7
745,HCH,13.4,29.4,14.7
746,HCH,13.4,29.4,14.7
747,HCH,13.4,29.4,14.7
748,HCH,13.4,29.4,14.7
749,HCH,13.4,29.4,14.7
750,HCH,13.4,29.4,14.7
751,P,28.5,43.7,14.7
752,P,28.5,43.7,14.7
753,HPH,21.4,43.7,14.7
754,HPH,21.4,43.7,14.7
755,HPH,21.4,43.7,14.7
756,HPH,21.4,43.7,14.7
757,HPH,21.4,43.7,14.7
758,HPH,21.4,43.7,14.7
759,HPH,21.4,43.7,14.7
760,HPH,21.4,43.7,14.7
761,HPH,21.4,43.7,14.7
762,HPH,21.4,43.7,14.7
763,P,28.5,43.7,14.7
764,P,28.5,43.7,14.7
765,HPH,21.4,43.7,14.7
766,HPH,21.4,43.7,14.7
767,HCH,13.4,29.4,14.7
768,HCH,13.4,29.4,14.7
769,HCH,13.4,29.4,14.7
770,HCH,13.4,29.4,14.7
771,HCH,13.4,29.4,14.7
772,HCH,13.4,29.4,14.7
773,HCH,13.4,29.4,14.7
774,HCH,13.4,29.4,14.7
775,P,28.5,43.7,14.7
776,P,28.5,43.7,14.7
777,HPH,21.4,43.7,14.7
778,HPH,21.4,43.7,14.7
779,HPH,21.4,43.7,14.7
780,HPH,21.4,43.7,14.7
781,HPH,21.4,43.7,14.7
782,HPH,21.4,43.7,14.7
783,HPH,21.4,43.7,14.7
784,HPH,21.4,43.7,14.7
